,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134
1103,73.791,73.676,73.607,74.179,73.677,74.056,73.514,73.847,74.02,73.886,73.999,74.083,74.076,74.059,74.29,74.096,74.133,73.966,73.637,73.602,73.773,73.842,73.583,73.567,73.995,73.818,73.76,73.83,73.879,73.822,74.072,74.006,73.973,73.906,74.094,74.253,73.897,73.904,73.618,73.737,73.907,73.645,73.749,73.716,74.021,74.372,74.428,74.366,74.26,74.398,74.326,74.302,74.291,74.272,74.747,74.428,74.79,74.313,74.263,74.671,74.508,74.213,74.931,74.22,74.377,74.131,74.345,74.444,74.201,74.207,74.167,74.6,74.245,74.33,74.394,74.734,74.418,74.592,74.449,74.49,74.753,74.555,74.257,74.329,74.276,74.214,74.336,74.672,74.187,74.26,74.491,74.384,74.185,74.073,73.94,74.212,74.305,74.007,74.303,74.367,74.212,74.414,74.064,74.426,74.311,74.596,74.318,74.291,73.831,74.086,74.03,74.217,74.216,74.098,73.89,74.015,73.87,74.288,74.391,74.512,74.233,73.937,74.4,74.335,74.025,75.139,74.107,74.225,74.324,74.135,74.513,74.161,74.004,74.187,74.067
1104,75.193,74.891,75.09,75.022,74.833,75.043,75.061,74.958,74.739,75.319,75.264,75.124,75.332,75.356,75.197,75.392,75.016,75.234,74.653,74.597,74.862,74.829,74.821,74.976,74.918,75.024,74.918,74.884,75.346,75.412,75.22,75.189,75.111,75.06,75.139,75.105,74.985,74.964,75.209,74.995,75.161,74.853,75.021,74.843,74.925,75.551,75.397,75.865,75.534,75.741,75.516,75.505,75.852,75.779,75.615,75.579,75.665,75.632,75.69,75.493,75.51,75.665,75.677,75.427,75.499,75.49,75.188,75.346,75.509,75.477,75.48,75.381,75.495,75.609,75.665,75.624,75.624,75.667,75.391,75.708,75.513,75.522,75.65,75.684,75.71,75.779,75.367,75.818,75.49,75.369,75.268,75.413,75.191,75.436,75.233,75.134,75.454,75.405,75.23,75.493,75.325,75.46,75.305,75.584,75.58,75.414,75.506,75.479,75.2,75.01,74.972,75.146,75.368,75.298,74.984,75.152,75.141,75.448,75.671,75.452,75.341,75.451,75.39,75.697,75.562,75.543,75.509,75.436,75.519,75.145,75.434,75.426,75.106,75.487,75.317
1105,76.0,75.842,76.034,76.181,75.944,75.969,76.048,76.013,75.838,76.182,76.188,76.207,76.256,76.452,76.112,76.523,76.253,76.228,75.667,75.89,75.688,75.779,75.951,75.973,75.857,75.902,76.132,76.092,76.051,76.255,76.295,76.187,76.137,76.252,76.057,76.177,76.177,75.858,76.137,75.957,76.047,75.978,75.802,76.089,76.225,76.659,76.637,76.484,76.536,76.596,76.488,76.581,76.746,76.664,76.724,76.512,76.738,76.557,76.522,76.749,76.944,76.533,76.514,76.389,76.801,76.472,76.417,76.465,76.551,76.515,76.408,76.342,76.686,76.578,76.544,76.619,76.749,76.655,76.699,76.858,76.702,76.488,76.493,76.463,76.554,76.507,76.527,76.659,76.623,76.708,76.346,76.236,76.13,76.374,76.103,76.392,76.408,76.462,76.301,76.547,76.564,76.453,76.587,76.604,76.482,76.64,76.627,76.634,76.262,76.385,76.151,76.284,76.212,76.091,76.234,76.157,76.112,76.429,76.429,76.315,76.588,76.44,76.666,76.252,76.68,76.523,76.066,76.187,76.299,76.242,76.421,76.405,76.472,76.409,76.402
1106,77.182,77.167,77.244,77.107,77.261,77.095,77.133,77.185,77.178,77.179,77.191,77.303,77.153,77.319,77.204,77.141,77.315,77.273,76.94,77.009,77.01,76.853,77.09,77.021,76.806,76.858,76.929,77.214,77.143,77.163,77.197,77.046,77.189,77.126,77.2,77.225,76.858,76.998,77.031,77.069,77.012,76.939,77.107,77.017,77.078,77.655,77.585,77.611,77.623,77.45,77.421,77.48,77.473,77.513,77.736,77.553,77.426,77.61,77.461,77.541,77.653,77.662,77.646,77.359,77.308,77.603,77.333,77.421,77.329,77.533,77.568,77.215,77.864,77.677,77.598,77.587,77.515,77.636,77.529,77.48,77.699,77.487,77.446,77.5,77.452,77.418,77.322,77.278,77.47,77.433,77.194,77.261,77.357,77.19,77.421,77.311,77.397,77.484,77.558,77.504,77.543,77.483,77.519,77.406,77.612,77.313,77.369,77.527,77.06,77.157,77.279,77.273,77.095,77.231,77.196,77.14,77.401,77.559,77.404,77.526,77.378,77.595,77.43,77.517,77.402,77.597,77.204,77.308,77.406,77.508,77.305,77.263,77.23,77.26,77.066
1107,78.27,78.194,78.221,78.18,78.191,78.031,78.159,78.227,78.125,78.339,78.312,78.335,78.381,78.457,78.303,78.328,78.221,78.229,77.876,77.938,77.955,77.988,78.038,78.039,78.094,78.036,78.062,78.283,78.199,78.37,78.17,78.279,78.325,78.333,78.225,78.122,78.085,78.216,78.258,78.248,78.201,78.073,78.433,78.166,78.167,78.678,78.678,78.57,78.552,78.518,78.532,78.747,78.649,78.482,78.548,78.688,78.565,78.632,78.743,78.619,78.606,78.831,78.562,78.604,78.487,78.51,78.445,78.422,78.653,78.406,78.605,78.552,78.652,78.693,78.752,78.828,78.666,78.641,78.672,78.61,78.62,78.604,78.523,78.575,78.607,78.651,78.571,78.6,78.437,78.465,78.423,78.549,78.416,78.336,78.494,78.281,78.489,78.501,78.387,78.514,78.498,78.557,78.629,78.75,78.737,78.491,78.667,78.606,78.32,78.24,78.287,78.361,78.301,78.291,78.274,78.454,78.225,78.577,78.603,78.653,78.629,78.507,78.524,78.557,78.632,78.363,78.332,78.504,78.376,78.324,78.55,78.366,78.367,78.437,78.413
1108,79.043,79.12,79.024,79.142,79.123,79.217,79.184,79.142,79.258,79.35,79.284,79.34,79.352,79.388,79.367,79.349,79.373,79.373,79.005,79.181,79.121,79.205,79.047,79.015,79.013,79.068,78.999,79.397,79.411,79.277,79.319,79.351,79.251,79.285,79.37,79.265,79.277,79.13,79.09,79.083,79.101,79.294,79.147,79.225,79.188,79.525,79.586,79.479,79.625,79.524,79.529,79.422,79.45,79.638,79.816,79.612,79.678,79.595,79.803,79.617,79.677,79.565,79.834,79.632,79.486,79.459,79.519,79.467,79.44,79.582,79.726,79.507,79.705,79.802,79.617,79.763,79.704,79.809,79.651,79.714,79.694,79.534,79.539,79.662,79.537,79.396,79.702,79.834,79.484,79.531,79.508,79.453,79.386,79.54,79.399,79.527,79.462,79.408,79.649,79.636,79.781,79.703,79.695,79.64,79.791,79.662,79.638,79.658,79.328,79.419,79.373,79.303,79.304,79.532,79.414,79.401,79.36,79.505,79.661,79.629,79.603,79.548,79.596,79.815,79.569,79.494,79.497,79.498,79.56,79.482,79.445,79.524,79.562,79.381,79.476
1109,80.284,80.231,80.168,80.154,80.299,80.257,80.326,80.286,80.291,80.626,80.435,80.373,80.453,80.437,80.479,80.46,80.443,80.408,80.103,80.186,80.199,80.217,80.136,80.164,80.099,80.304,80.106,80.425,80.483,80.372,80.513,80.557,80.358,80.536,80.467,80.431,80.342,80.488,80.256,80.293,80.131,80.348,80.313,80.262,80.411,80.859,80.731,80.689,80.779,80.742,80.749,80.568,80.604,80.676,80.812,80.75,80.784,80.859,80.826,80.801,80.891,80.827,80.848,80.584,80.593,80.601,80.615,80.502,80.692,80.558,80.668,80.709,80.741,80.68,80.745,80.754,80.883,80.808,80.891,80.78,80.756,80.688,80.681,80.7,80.676,80.58,80.637,80.641,80.728,80.784,80.673,80.589,80.474,80.562,80.688,80.593,80.455,80.512,80.56,80.761,80.746,80.736,80.78,80.778,80.781,80.817,80.793,80.715,80.497,80.567,80.49,80.458,80.473,80.581,80.546,80.62,80.483,80.786,80.798,80.738,80.706,80.676,80.744,80.656,80.783,80.584,80.752,80.691,80.557,80.572,80.712,80.603,80.579,80.639,80.688
1110,81.628,81.618,81.607,81.522,81.51,81.527,81.537,81.605,81.508,81.725,81.744,81.782,81.724,81.74,81.682,81.673,81.705,81.842,81.461,81.401,81.365,81.367,81.562,81.424,81.297,81.352,81.427,81.768,81.74,81.783,81.73,81.771,81.702,81.614,81.657,81.858,81.542,81.542,81.642,81.678,81.573,81.547,81.589,81.629,81.613,82.022,81.966,81.983,81.948,81.923,81.906,81.933,81.863,81.884,82.197,82.135,82.045,82.075,81.966,82.088,82.006,82.071,82.045,81.849,81.845,81.879,81.876,81.836,81.816,81.869,81.91,81.916,82.073,82.031,82.034,82.135,82.04,82.08,81.997,82.098,82.072,82.039,82.098,81.982,81.93,81.912,81.994,81.9,81.97,81.91,81.798,81.916,81.916,81.849,81.834,81.947,81.86,81.943,81.919,82.136,82.116,82.011,82.074,82.029,81.947,82.086,81.986,82.048,81.819,81.774,81.777,81.697,81.847,81.808,81.769,81.696,81.77,82.093,82.132,82.048,82.104,82.047,82.022,82.006,81.994,82.069,81.882,81.935,82.007,82.038,81.939,81.906,81.886,82.002,81.939
1111,82.803,82.859,82.715,82.764,82.697,82.689,82.791,82.731,82.817,82.925,82.888,82.85,82.844,82.845,82.865,82.877,82.82,82.763,82.648,82.67,82.624,82.628,82.597,82.601,82.715,82.675,82.608,82.961,82.977,82.823,82.93,82.892,82.927,82.838,82.876,82.845,82.818,82.78,82.705,82.865,82.759,82.855,82.73,82.771,82.76,83.065,83.038,83.071,83.131,83.008,82.968,83.053,83.045,83.043,83.264,83.217,83.185,83.278,83.193,83.177,83.133,83.203,83.103,83.049,83.007,83.082,83.034,83.097,83.051,82.968,83.109,83.019,83.229,83.268,83.232,83.217,83.221,83.281,83.175,83.222,83.246,83.208,83.197,83.214,83.08,83.137,83.122,83.131,83.095,83.046,83.177,83.104,83.042,83.03,83.096,83.013,83.007,83.048,82.994,83.232,83.18,83.197,83.233,83.245,83.209,83.247,83.133,83.278,83.043,83.065,83.026,83.052,83.016,83.009,82.997,82.96,83.035,83.308,83.192,83.22,83.147,83.239,83.244,83.174,83.245,83.222,83.245,83.132,83.202,83.247,83.174,83.202,83.239,83.165,83.161
1112,83.898,83.875,83.896,83.911,83.849,83.904,83.879,83.881,83.795,84.069,84.036,84.054,84.035,83.961,84.034,83.963,84.002,84.037,83.652,83.689,83.736,83.722,83.708,83.751,83.71,83.667,83.763,84.1,84.024,84.057,84.022,83.99,84.117,84.008,83.988,84.014,83.859,83.893,83.843,83.957,83.881,83.869,83.985,83.926,83.845,84.279,84.166,84.138,84.119,84.06,84.101,84.146,84.152,84.032,84.255,84.415,84.305,84.272,84.281,84.268,84.323,84.278,84.271,84.046,84.122,84.075,84.045,84.099,84.108,84.068,84.139,84.021,84.283,84.334,84.341,84.255,84.273,84.301,84.27,84.248,84.333,84.225,84.181,84.116,84.154,84.208,84.155,84.126,84.163,84.078,84.235,84.179,84.196,84.215,84.275,84.197,84.239,84.19,84.17,84.358,84.356,84.353,84.416,84.33,84.295,84.398,84.352,84.445,84.086,84.078,84.132,84.064,84.129,84.117,84.097,84.04,84.109,84.39,84.373,84.34,84.379,84.282,84.367,84.246,84.267,84.281,84.242,84.22,84.325,84.235,84.218,84.212,84.192,84.251,84.229
1113,84.899,84.829,84.858,84.884,84.835,84.85,84.857,84.902,84.873,85.056,85.073,85.122,85.041,85.077,85.057,85.05,85.131,85.057,84.783,84.698,84.726,84.682,84.698,84.749,84.687,84.744,84.796,84.93,84.974,85.032,85.031,85.071,85.017,85.045,85.051,85.11,84.96,84.901,84.889,84.887,84.869,84.923,84.914,84.898,84.942,85.055,85.126,85.11,85.13,85.121,85.141,85.179,85.166,85.085,85.352,85.325,85.338,85.369,85.3,85.324,85.298,85.346,85.318,85.201,85.099,85.059,85.099,85.064,85.078,85.051,85.084,85.088,85.292,85.355,85.446,85.323,85.298,85.336,85.219,85.383,85.324,85.239,85.29,85.269,85.187,85.247,85.278,85.185,85.211,85.159,85.324,85.299,85.271,85.289,85.296,85.222,85.221,85.299,85.28,85.512,85.498,85.385,85.377,85.476,85.367,85.399,85.489,85.377,85.158,85.11,85.175,85.195,85.142,85.17,85.122,85.17,85.255,85.378,85.443,85.41,85.372,85.445,85.349,85.345,85.424,85.308,85.315,85.39,85.248,85.341,85.488,85.303,85.255,85.29,85.404
1114,85.929,85.865,85.883,85.889,85.775,85.903,85.926,85.88,85.896,85.995,86.151,86.047,86.216,86.208,86.081,86.05,86.147,86.125,85.748,85.7,85.742,85.764,85.724,85.734,85.808,85.798,85.869,85.986,86.082,86.019,86.011,85.987,85.982,86.078,86.099,86.047,85.986,85.892,85.915,85.969,85.951,85.886,85.899,85.954,85.876,86.108,86.106,86.059,86.221,86.098,86.093,86.041,86.084,86.114,86.248,86.287,86.282,86.327,86.219,86.181,86.349,86.285,86.255,86.122,86.051,86.016,86.016,86.088,86.034,86.076,86.082,86.044,86.396,86.332,86.245,86.211,86.263,86.266,86.269,86.251,86.288,86.209,86.117,86.174,86.123,86.179,86.164,86.19,86.149,86.172,86.323,86.416,86.318,86.192,86.344,86.301,86.286,86.225,86.257,86.442,86.458,86.376,86.497,86.46,86.477,86.561,86.428,86.343,86.155,86.051,86.191,86.125,86.083,86.192,86.118,86.121,86.203,86.547,86.378,86.333,86.385,86.443,86.36,86.504,86.391,86.398,86.452,86.297,86.368,86.452,86.328,86.312,86.32,86.36,86.323
1115,86.858,86.835,86.869,86.887,86.83,86.909,86.869,86.935,86.795,87.106,87.04,87.021,87.035,87.001,87.056,87.024,87.023,87.036,86.706,86.722,86.756,86.786,86.716,86.732,86.813,86.685,86.736,87.035,86.996,86.939,86.965,86.963,87.01,86.925,86.987,86.974,87.026,86.883,86.883,86.896,86.871,86.96,86.934,86.874,86.848,87.018,87.032,87.031,87.037,87.092,87.014,86.996,87.048,87.041,87.175,87.228,87.154,87.2,87.131,87.142,87.138,87.155,87.22,87.043,86.977,87.039,87.015,86.943,86.957,86.968,86.936,86.968,87.125,87.177,87.219,87.127,87.021,87.091,87.072,87.078,87.138,87.038,87.157,87.111,86.995,87.089,87.086,87.15,87.107,87.146,87.227,87.251,87.288,87.21,87.179,87.224,87.372,87.284,87.234,87.509,87.373,87.411,87.416,87.347,87.42,87.282,87.401,87.384,87.094,87.051,87.116,87.084,87.172,87.136,87.105,87.067,87.057,87.327,87.275,87.348,87.321,87.344,87.175,87.305,87.322,87.268,87.304,87.226,87.337,87.295,87.295,87.298,87.27,87.335,87.258
