,phase,freq,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1039,mic-3_seal_chirp,600.0,61.108,60.288,59.377,61.551,60.269,59.962,58.452,60.248,58.309,60.372,61.076,57.301,57.02,58.273,58.148,56.703,59.891,56.461,59.02,58.1794
1040,mic-3_seal_chirp,630.0,59.81,58.834,59.55,57.03,59.605,58.652,61.037,59.215,56.414,57.624,57.274,55.91,56.381,58.38,56.06,56.395,56.574,54.964,56.909,56.3939
1041,mic-3_seal_chirp,670.0,59.81,59.083,61.922,59.621,59.809,56.59,62.099,58.347,58.863,56.852,58.084,57.129,59.677,60.486,59.107,56.559,62.926,58.046,56.299,58.6762
1042,mic-3_seal_chirp,710.0,61.87,60.878,61.127,64.346,62.865,61.047,58.443,56.71,62.121,59.192,59.755,60.813,58.749,62.591,64.733,58.988,57.766,61.661,61.692,63.806
1043,mic-3_seal_chirp,750.0,65.074,62.109,61.085,60.988,63.141,63.915,61.879,61.514,61.929,61.663,59.955,60.78,61.477,66.436,60.395,64.426,59.173,61.985,62.481,63.335
1044,mic-3_seal_chirp,800.0,62.44,60.149,62.5,61.251,62.565,59.891,60.072,61.456,61.167,62.298,60.476,65.781,63.964,63.893,60.786,65.472,60.382,59.981,63.058,62.036
1045,mic-3_seal_chirp,850.0,59.663,62.182,59.974,62.418,58.572,63.436,66.735,60.101,60.734,62.635,59.036,61.888,60.991,59.562,62.699,58.929,61.199,61.207,60.647,61.797
1046,mic-3_seal_chirp,900.0,61.078,62.053,62.203,61.756,63.945,59.746,60.644,65.559,64.141,59.734,60.387,58.651,62.458,59.246,59.977,58.134,58.04,57.6,59.667,60.879
1047,mic-3_seal_chirp,950.0,64.748,60.825,58.735,61.444,62.076,64.368,58.867,61.435,59.871,61.211,55.796,56.61,58.117,58.212,55.42,55.87,57.769,55.399,55.945,58.753
1048,mic-3_seal_chirp,1000.0,58.64,59.92,62.567,61.369,63.558,62.579,61.522,61.795,60.63,62.076,55.794,54.858,55.803,55.041,55.214,55.862,55.894,56.309,55.697,54.72
1049,mic-3_seal_chirp,1060.0,56.951,59.909,57.067,58.13,61.748,60.189,57.899,57.67,59.305,59.015,59.67,53.3,58.578,58.294,55.979,57.546,54.706,57.404,55.821,54.969
1050,mic-3_seal_chirp,1120.0,58.603,58.329,55.179,57.683,60.921,58.06,57.95,60.163,58.217,56.349,57.37,60.997,60.966,60.835,60.334,57.772,57.536,65.701,60.353,62.934
1051,mic-3_seal_chirp,1180.0,59.397,61.017,59.485,58.032,62.072,57.948,60.805,57.173,59.944,58.518,58.788,54.921,60.55,62.584,60.874,57.919,59.631,63.255,60.996,56.885
