,phase,freq,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
764,mic-3_fr,475.0,-37.52,-37.508,-37.509,-37.511,-37.514,-37.509,-37.505,-37.504,-37.505,-37.505,-38.018,-38.008,-38.013,-38.015,-38.014,-38.016,-38.015,-38.014,-38.014,-38.011
765,mic-3_fr,500.0,-37.52,-37.508,-37.51,-37.51,-37.514,-37.508,-37.505,-37.503,-37.506,-37.506,-38.067,-38.057,-38.062,-38.065,-38.064,-38.067,-38.064,-38.064,-38.064,-38.063
766,mic-3_fr,530.0,-37.51,-37.497,-37.5,-37.499,-37.504,-37.499,-37.493,-37.491,-37.496,-37.496,-38.044,-38.033,-38.04,-38.041,-38.041,-38.044,-38.04,-38.04,-38.04,-38.041
767,mic-3_fr,560.0,-37.529,-37.516,-37.518,-37.518,-37.522,-37.518,-37.512,-37.511,-37.516,-37.515,-38.036,-38.025,-38.031,-38.033,-38.033,-38.036,-38.034,-38.032,-38.034,-38.034
768,mic-3_fr,600.0,-37.555,-37.544,-37.545,-37.548,-37.549,-37.546,-37.54,-37.543,-37.544,-37.544,-38.061,-38.052,-38.058,-38.062,-38.059,-38.063,-38.062,-38.061,-38.062,-38.063
769,mic-3_fr,630.0,-37.546,-37.535,-37.538,-37.54,-37.542,-37.539,-37.532,-37.536,-37.536,-37.537,-38.079,-38.073,-38.08,-38.084,-38.08,-38.085,-38.082,-38.083,-38.084,-38.084
770,mic-3_fr,670.0,-37.546,-37.537,-37.54,-37.54,-37.543,-37.54,-37.534,-37.536,-37.537,-37.537,-38.101,-38.097,-38.102,-38.106,-38.103,-38.107,-38.105,-38.105,-38.106,-38.107
771,mic-3_fr,710.0,-37.561,-37.549,-37.552,-37.554,-37.557,-37.555,-37.548,-37.548,-37.55,-37.55,-38.116,-38.112,-38.117,-38.121,-38.119,-38.125,-38.121,-38.12,-38.122,-38.123
772,mic-3_fr,750.0,-37.555,-37.545,-37.547,-37.549,-37.552,-37.549,-37.543,-37.542,-37.547,-37.546,-38.118,-38.113,-38.12,-38.125,-38.122,-38.127,-38.125,-38.123,-38.126,-38.124
773,mic-3_fr,800.0,-37.534,-37.526,-37.529,-37.53,-37.535,-37.529,-37.526,-37.523,-37.528,-37.528,-38.148,-38.142,-38.147,-38.153,-38.152,-38.155,-38.153,-38.153,-38.157,-38.155
