,0,1199,1200,1201,1202,1203,1204,1205,1206,1207,1208,1209,1210,1211,1212,1213,1214,1215,1216,1217,1218,1219,1220,1221,1222,1223,1224,1225,1226,1227,1228,1229,1230,1231,1232,1233,1234,1235,1236,1237,1238,1239,1240,1241,1242,1243,1244,1245,1246,1247,1248,1249,1250,1251,1252,1253,1254,1255,1256,1257,1258,1259,1260,1261,1262,1263,1264,1265,1266,1267,1268,1269,1270,1271,1272,1273,1274,1275,1276,1277,1278,1279
phase,dut_id,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd,spk-1_thd
freq,,100.0,106.0,112.0,118.0,125.0,132.0,140.0,150.0,160.0,170.0,180.0,190.0,200.0,212.0,224.0,236.0,250.0,265.0,280.0,300.0,315.0,335.0,355.0,375.0,400.0,425.0,450.0,475.0,500.0,530.0,560.0,600.0,630.0,670.0,710.0,750.0,800.0,850.0,900.0,950.0,1000.0,1060.0,1120.0,1180.0,1250.0,1320.0,1400.0,1500.0,1600.0,1700.0,1800.0,1900.0,2000.0,2120.0,2240.0,2360.0,2500.0,2650.0,2800.0,3000.0,3150.0,3350.0,3550.0,3750.0,4000.0,4250.0,4500.0,4750.0,5000.0,5300.0,5600.0,6000.0,6300.0,6700.0,7100.0,7500.0,8000.0,8500.0,9000.0,9500.0,10000.0
0,5B031FDDX00004,56.185,59.256,59.644,61.563,64.272,67.829,67.463,74.057,78.079,78.844,79.58,75.538,90.342,94.879,104.593,101.823,103.126,112.649,110.678,95.292,87.625,76.559,66.376,54.523,44.016,41.755,35.903,32.246,28.374,28.864,23.712,19.006,17.946,17.554,16.428,12.302,8.354,5.767,5.335,4.3,4.198,5.715,6.132,5.75,4.72,3.87,3.621,3.907,5.468,6.334,5.115,3.359,2.023,1.092,0.679,0.528,0.652,0.729,1.582,2.748,3.345,3.773,3.406,2.685,2.264,1.641,1.603,2.147,2.355,2.284,2.397,1.882,0.675,0.338,1.687,2.163,4.236,3.875,1.945,2.03,2.296
1,5B031FDDX00004,54.43,56.819,59.757,62.09,67.373,62.634,68.235,68.64,74.37,74.053,77.419,79.448,89.509,90.707,93.88,104.862,108.021,109.723,111.081,90.369,85.545,80.771,63.353,51.545,45.349,42.537,35.204,32.487,30.826,26.025,23.72,20.947,18.471,16.374,16.601,12.05,8.927,6.027,5.79,4.24,4.555,5.625,6.098,5.731,4.472,3.856,3.705,3.986,5.492,6.279,5.045,3.349,1.979,1.105,0.691,0.537,0.632,0.766,1.525,2.824,3.378,3.792,3.46,2.696,2.269,1.66,1.606,2.014,2.385,2.326,2.411,1.956,0.708,0.331,1.642,2.06,3.906,3.845,2.331,2.011,2.301
2,5B031FDDX00004,56.539,57.645,59.393,62.27,63.661,65.051,68.198,67.239,72.933,75.739,82.054,80.198,84.127,96.622,94.789,108.629,110.95,100.088,120.63,97.023,91.225,77.083,60.321,54.424,45.404,41.341,35.135,35.448,32.386,29.136,23.519,19.735,20.093,17.533,15.621,11.795,8.626,6.137,5.941,4.197,4.566,5.544,6.363,5.659,4.555,3.884,3.7,3.989,5.397,6.291,5.06,3.298,1.979,1.118,0.661,0.533,0.621,0.713,1.581,2.773,3.41,3.813,3.434,2.708,2.274,1.654,1.612,2.023,2.395,2.362,2.398,1.88,0.678,0.392,1.677,2.042,3.956,3.862,2.535,2.01,2.32
3,5B031FDDX00004,55.577,58.538,59.839,59.699,63.12,67.999,64.881,71.111,75.301,78.746,80.48,85.545,93.956,96.284,103.592,103.36,106.693,112.919,116.961,100.746,91.386,76.927,65.376,58.543,45.419,41.556,36.927,33.109,28.677,27.449,23.914,20.771,20.23,16.343,14.607,12.368,8.566,6.073,5.546,4.31,4.468,5.418,6.048,5.628,4.499,3.823,3.639,3.927,5.419,6.301,5.124,3.413,1.974,1.078,0.707,0.504,0.629,0.734,1.622,2.744,3.396,3.768,3.43,2.687,2.272,1.66,1.632,2.02,2.426,2.288,2.439,1.889,0.694,0.317,1.657,2.168,4.218,3.86,2.818,2.124,2.334
4,5B031FDDX00004,56.945,58.58,58.065,59.82,64.654,65.342,63.273,65.997,72.277,76.07,75.903,88.845,93.881,94.295,100.225,109.976,99.582,100.449,110.029,93.4,86.958,76.949,63.515,47.762,45.757,42.225,32.702,32.718,29.212,28.503,23.769,20.359,18.187,16.609,15.243,12.329,8.149,6.054,5.63,4.465,4.481,5.751,6.363,5.85,4.552,3.909,3.646,3.989,5.411,6.304,5.067,3.336,1.985,1.106,0.692,0.53,0.641,0.766,1.55,2.738,3.339,3.809,3.42,2.701,2.268,1.669,1.628,2.024,2.385,2.321,2.51,1.858,0.638,0.379,1.768,2.163,4.041,3.884,2.917,1.999,2.244
5,5B031FDDX00004,56.647,59.902,60.028,59.307,61.074,65.894,70.445,73.35,67.806,80.557,79.941,81.777,90.592,90.17,93.363,103.84,102.039,113.536,109.961,98.293,92.061,81.509,65.148,52.203,47.226,42.041,36.254,33.181,30.217,28.528,21.4,19.874,20.288,16.456,14.347,11.66,8.67,5.85,5.358,4.31,4.386,5.502,5.914,5.427,4.433,3.835,3.65,3.95,5.288,6.281,5.137,3.354,1.991,1.086,0.67,0.538,0.612,0.753,1.534,2.758,3.396,3.787,3.405,2.691,2.263,1.662,1.639,2.018,2.415,2.224,2.458,1.844,0.693,0.317,1.68,2.193,4.285,3.862,2.979,2.134,2.283
6,5B031FDDX00004,56.508,57.698,58.434,59.638,65.128,62.152,68.427,68.608,67.753,74.853,81.449,82.729,88.208,94.686,103.479,96.153,109.072,103.292,109.267,102.232,86.563,81.971,65.9,54.33,48.904,41.155,35.037,33.541,30.885,28.645,25.8,18.827,19.745,17.591,17.011,13.097,9.645,6.065,4.946,4.16,4.207,5.188,5.93,5.849,4.552,3.967,3.499,3.681,4.929,6.287,5.085,3.405,2.179,1.114,0.719,0.576,0.665,0.801,1.719,3.027,3.904,4.4,3.779,2.641,1.925,1.754,1.651,2.317,2.358,2.5,3.165,1.724,0.527,0.302,1.585,1.88,4.837,4.363,2.597,1.436,2.707
