,0,1429,1430,1431,1432,1433,1434,1435,1436,1437,1438,1439,1440,1441,1442,1443,1444,1445,1446,1447,1448,1449,1450,1451,1452,1453,1454,1455,1456,1457,1458,1459,1460,1461,1462,1463,1464,1465,1466,1467,1468,1469,1470,1471,1472,1473,1474,1475,1476,1477,1478,1479,1480,1481,1482,1483,1484,1485,1486,1487,1488,1489,1490,1491,1492,1493,1494,1495,1496,1497,1498,1499,1500,1501,1502,1503,1504,1505,1506,1507,1508,1509
phase,dut_id,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd,spk-2_thd
7,5B031FDDX00004,30.827,31.198,31.0,31.787,32.282,32.654,33.281,34.96,35.863,36.488,38.337,39.307,41.71,43.285,45.023,44.863,43.94,43.099,40.75,37.242,34.242,30.336,25.898,21.787,16.88,13.227,11.146,9.71,8.76,7.68,6.865,6.162,6.273,6.104,6.066,6.326,6.576,6.474,6.53,6.654,6.936,7.076,6.536,6.706,7.159,7.307,7.218,7.995,9.007,8.326,6.456,5.007,4.126,3.669,3.547,3.498,3.123,1.975,1.09,0.718,0.547,0.524,0.501,0.625,1.05,1.388,2.124,2.277,2.157,1.907,1.746,1.83,1.247,0.949,1.198,1.073,0.684,0.513,0.112,0.19,0.336
8,5B031FDDX00004,31.044,31.342,31.064,31.811,32.24,33.04,33.686,34.867,35.658,36.844,38.13,40.061,42.011,42.867,44.092,46.132,44.084,42.96,40.748,37.112,34.001,29.908,25.537,21.739,16.817,13.32,11.083,9.721,8.763,7.647,6.688,6.027,6.117,5.972,6.131,6.358,6.502,6.414,6.494,6.667,6.871,6.996,6.48,6.631,7.083,7.308,7.347,8.099,8.999,8.338,6.458,4.961,4.088,3.636,3.547,3.49,3.086,1.969,1.089,0.726,0.537,0.523,0.506,0.61,1.04,1.387,2.117,2.257,2.126,1.849,1.731,1.814,1.249,0.935,1.194,1.108,0.677,0.53,0.129,0.158,0.312
9,5B031FDDX00004,31.032,30.93,30.879,31.216,32.224,33.064,33.836,34.754,36.064,36.521,38.48,39.16,41.252,43.473,43.312,44.37,44.367,42.701,41.235,37.155,33.948,29.978,25.432,21.94,16.637,13.036,11.094,9.694,8.83,7.575,6.763,6.036,6.195,6.031,6.113,6.298,6.595,6.471,6.485,6.669,6.878,7.004,6.517,6.629,7.046,7.242,7.302,8.044,9.012,8.34,6.473,4.973,4.089,3.636,3.539,3.503,3.085,1.988,1.088,0.735,0.541,0.514,0.5,0.613,1.044,1.384,2.12,2.265,2.127,1.847,1.733,1.815,1.251,0.944,1.191,1.08,0.65,0.515,0.087,0.202,0.298
10,5B031FDDX00004,30.497,30.618,31.285,31.212,32.508,33.083,33.267,34.732,35.182,36.328,37.818,39.482,41.506,43.045,43.95,44.86,44.191,43.151,41.292,36.787,33.942,30.115,25.486,21.869,16.744,13.254,11.18,9.653,8.748,7.685,6.504,5.936,5.982,5.952,6.079,6.271,6.509,6.442,6.491,6.674,6.844,6.931,6.452,6.612,7.123,7.335,7.373,8.125,8.97,8.318,6.437,4.953,4.068,3.622,3.527,3.517,3.096,1.963,1.085,0.737,0.54,0.519,0.506,0.617,1.043,1.375,2.089,2.249,2.118,1.853,1.731,1.802,1.253,0.943,1.179,1.067,0.677,0.524,0.112,0.195,0.321
11,5B031FDDX00004,31.15,31.291,31.05,31.197,32.112,32.677,33.446,34.686,35.798,36.45,38.22,39.393,41.129,43.841,44.028,44.929,43.998,43.12,41.237,37.092,34.028,30.086,25.485,21.58,16.746,13.173,11.251,10.029,8.767,7.785,6.83,6.003,6.0,6.07,6.04,6.361,6.507,6.441,6.507,6.626,6.878,6.943,6.482,6.603,7.099,7.343,7.293,8.103,8.993,8.336,6.435,4.947,4.072,3.628,3.538,3.492,3.079,1.944,1.088,0.729,0.55,0.525,0.495,0.613,1.043,1.38,2.101,2.244,2.114,1.845,1.728,1.813,1.243,0.945,1.192,1.086,0.648,0.54,0.065,0.111,0.269
12,5B031FDDX00004,31.737,31.592,31.879,32.23,32.424,32.959,33.761,34.618,36.336,37.7,38.215,39.706,41.484,42.968,43.545,44.517,44.092,43.753,41.244,37.616,34.083,30.297,25.505,21.749,16.822,13.275,11.369,9.79,8.875,7.745,6.817,6.45,6.254,6.199,6.223,6.362,6.436,6.475,6.482,6.617,6.852,7.119,6.773,6.9,7.265,7.335,7.372,7.747,8.884,8.056,6.406,5.068,4.164,3.786,3.574,3.501,2.992,1.96,1.152,0.817,0.571,0.536,0.536,0.618,1.049,1.261,2.359,2.429,2.399,2.08,1.612,1.906,1.289,0.963,1.191,1.176,0.62,0.605,0.05,0.239,0.327
13,5B031FDDX00004,31.892,31.745,32.189,32.104,32.615,33.358,33.752,35.157,36.874,37.774,38.218,40.446,41.217,43.296,43.574,44.722,44.71,43.284,40.876,37.371,34.05,29.785,25.164,21.535,16.685,13.269,11.191,9.793,8.741,7.529,6.773,6.202,6.103,6.066,6.14,6.3,6.356,6.359,6.44,6.692,6.849,7.112,6.767,6.906,7.295,7.291,7.402,7.691,8.835,7.876,6.239,4.936,4.049,3.761,3.512,3.504,2.998,1.971,1.155,0.804,0.559,0.533,0.561,0.606,1.033,1.246,2.329,2.391,2.351,2.114,1.688,1.878,1.237,0.938,1.2,1.172,0.674,0.557,0.061,0.214,0.367
14,5B031FDDX00004,31.527,31.635,31.507,32.444,32.54,32.997,33.862,35.275,36.369,37.28,38.855,40.086,41.236,43.603,43.562,44.833,44.373,43.476,40.976,37.469,34.056,29.944,25.476,21.68,16.777,13.22,11.385,9.632,8.75,7.676,6.742,6.166,6.103,6.205,6.12,6.3,6.444,6.37,6.451,6.649,6.811,7.056,6.691,6.857,7.221,7.252,7.341,7.644,8.793,7.962,6.36,5.02,4.129,3.753,3.52,3.484,3.014,1.943,1.157,0.807,0.577,0.537,0.552,0.622,1.039,1.251,2.323,2.378,2.347,2.043,1.596,1.875,1.277,0.957,1.181,1.188,0.631,0.551,0.115,0.254,0.372
15,5B031FDDX00004,31.534,31.068,31.73,32.061,32.508,33.02,33.551,35.396,36.523,37.028,38.31,40.163,41.076,43.406,43.985,45.38,44.292,43.085,41.351,37.443,34.177,29.945,25.376,21.498,16.771,13.081,11.184,9.77,8.721,7.513,6.724,6.254,6.056,6.08,6.182,6.319,6.387,6.333,6.338,6.608,6.813,7.086,6.669,6.867,7.182,7.247,7.343,7.646,8.777,7.938,6.343,4.984,4.114,3.773,3.523,3.482,3.003,1.965,1.151,0.801,0.572,0.537,0.537,0.611,1.038,1.249,2.311,2.364,2.33,2.053,1.618,1.858,1.261,0.958,1.195,1.181,0.673,0.58,0.108,0.22,0.381
16,5B031FDDX00004,31.488,31.258,31.807,31.764,32.289,32.905,33.657,35.068,36.685,37.361,38.037,39.293,41.243,42.697,44.156,44.721,44.227,43.456,41.125,37.336,34.646,30.125,25.324,21.309,16.675,13.231,11.233,9.696,8.746,7.525,6.582,6.089,6.146,6.066,6.139,6.395,6.439,6.351,6.395,6.56,6.849,7.109,6.727,6.816,7.223,7.244,7.306,7.635,8.714,7.949,6.319,5.006,4.16,3.804,3.591,3.519,3.059,1.95,1.14,0.8,0.569,0.542,0.546,0.604,1.028,1.244,2.298,2.366,2.33,2.026,1.563,1.827,1.282,0.965,1.216,1.214,0.662,0.555,0.103,0.222,0.366
