dut_id:56100DLCQ0001G result:PASS time:28.688 device_config: G950-15970-04 station_id: MT5_FVN-E1F3-G01_FATP-AUDIO_BJ25A-03
phase,measurement,value,low_limit,high_limit,low_limit2,high_limit2
init_test_thread,Battery_Capacity,40.0,30.0 , 100.0,30.0 , 100.0
init_test_thread,speaker_cal,true,'x' is True
initial_dut_temperature,battery_temp,26.3,-inf , +inf,-inf , +inf
aow_info,connection_type,"""WIFI""",'x' is not None
aow_info,ssid,"""MT-G02-AUDIO-03""",'x' is not None
aow_info,freq,"""5540""",'x' is not None
aow_info,rssi,"""-27""",'x' is not None
DeviceInit,connection_type,"""WIFI""",'x' is not None
mic_1_sens_functional,mic-1_sens_functional,-37.833,-90.0 , +inf,-90.0 , +inf
mic_1_sens,mic-1_sens,-37.833,-39.5 , -34.5,-39.5 , -34.5
mic_1_fr,mic-1_fr_00100.0,-38.423,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00106.0,-38.348,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00112.0,-38.275,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00118.0,-38.206,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00125.0,-38.126,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00132.0,-38.08,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00140.0,-38.076,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00150.0,-38.083,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00160.0,-38.125,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00170.0,-38.143,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00180.0,-38.126,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00190.0,-38.09,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00200.0,-38.04,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00212.0,-37.987,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00224.0,-37.95,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00236.0,-37.954,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00250.0,-37.977,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00265.0,-37.98,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00280.0,-37.94,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00300.0,-37.861,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00315.0,-37.835,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00335.0,-37.848,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00355.0,-37.842,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00375.0,-37.813,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00400.0,-37.806,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00425.0,-37.807,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00450.0,-37.783,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00475.0,-37.781,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00500.0,-37.778,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00530.0,-37.764,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00560.0,-37.77,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00600.0,-37.776,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00630.0,-37.768,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00670.0,-37.763,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00710.0,-37.754,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00750.0,-37.74,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00800.0,-37.737,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00850.0,-37.779,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00900.0,-37.772,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_00950.0,-37.795,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_01000.0,-37.833,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_01060.0,-37.745,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_01120.0,-37.719,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_01180.0,-37.732,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_01250.0,-37.758,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_01320.0,-37.607,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_01400.0,-37.848,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_01500.0,-37.878,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_01600.0,-37.734,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_01700.0,-37.926,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_01800.0,-37.954,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_01900.0,-37.691,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_02000.0,-37.637,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_02120.0,-37.681,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_02240.0,-37.656,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_02360.0,-37.543,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_02500.0,-37.432,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_02650.0,-37.556,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_02800.0,-37.569,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_03000.0,-37.573,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_03150.0,-37.243,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_03350.0,-38.55,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_03550.0,-38.236,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_03750.0,-36.984,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_04000.0,-37.107,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_04250.0,-36.977,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_04500.0,-37.365,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_04750.0,-37.439,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_05000.0,-36.69,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_05300.0,-37.06,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_05600.0,-36.754,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_06000.0,-36.431,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_06300.0,-35.987,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_06700.0,-35.898,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_07100.0,-35.283,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_07500.0,-34.973,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_08000.0,-33.661,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_08500.0,-33.204,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_09000.0,-32.69,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_09500.0,-31.976,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_10000.0,-29.348,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_10600.0,-27.952,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_11200.0,-27.457,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_11800.0,-24.039,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_12500.0,-24.904,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_13200.0,-25.264,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_14000.0,-26.016,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_15000.0,-27.672,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_16000.0,-29.436,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_17000.0,-32.247,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_18000.0,-31.307,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_19000.0,-34.299,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_20000.0,-32.667,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_21200.0,-33.589,-inf , +inf,-inf , +inf
mic_1_fr,mic-1_fr_22400.0,-41.128,-inf , +inf,-inf , +inf
mic_1_fr_norm,mic-1_fr_norm_00100.0,-0.5900000000000034,-2.8 , 1.2,-2.8 , 1.2
mic_1_fr_norm,mic-1_fr_norm_00106.0,-0.5150000000000006,-2.7 , 1.3,-2.7 , 1.3
mic_1_fr_norm,mic-1_fr_norm_00112.0,-0.44200000000000017,-2.5 , 1.5,-2.5 , 1.5
mic_1_fr_norm,mic-1_fr_norm_00118.0,-0.37300000000000466,-2.4 , 1.6,-2.4 , 1.6
mic_1_fr_norm,mic-1_fr_norm_00125.0,-0.29299999999999926,-2.3 , 1.7,-2.3 , 1.7
mic_1_fr_norm,mic-1_fr_norm_00132.0,-0.2469999999999999,-2.3 , 1.7,-2.3 , 1.7
mic_1_fr_norm,mic-1_fr_norm_00140.0,-0.2430000000000021,-2.3 , 1.7,-2.3 , 1.7
mic_1_fr_norm,mic-1_fr_norm_00150.0,-0.25,-2.3 , 1.7,-2.3 , 1.7
mic_1_fr_norm,mic-1_fr_norm_00160.0,-0.2920000000000016,-2.3 , 1.7,-2.3 , 1.7
mic_1_fr_norm,mic-1_fr_norm_00170.0,-0.3100000000000023,-2.3 , 1.7,-2.3 , 1.7
mic_1_fr_norm,mic-1_fr_norm_00180.0,-0.29299999999999926,-2.3 , 1.7,-2.3 , 1.7
mic_1_fr_norm,mic-1_fr_norm_00190.0,-0.257000000000005,-2.2 , 1.8,-2.2 , 1.8
mic_1_fr_norm,mic-1_fr_norm_00200.0,-0.20700000000000074,-2.2 , 1.8,-2.2 , 1.8
mic_1_fr_norm,mic-1_fr_norm_00212.0,-0.15400000000000347,-2.2 , 1.8,-2.2 , 1.8
mic_1_fr_norm,mic-1_fr_norm_00224.0,-0.11700000000000443,-2.1 , 1.9,-2.1 , 1.9
mic_1_fr_norm,mic-1_fr_norm_00236.0,-0.12100000000000222,-2.1 , 1.9,-2.1 , 1.9
mic_1_fr_norm,mic-1_fr_norm_00250.0,-0.14399999999999835,-2.1 , 1.9,-2.1 , 1.9
mic_1_fr_norm,mic-1_fr_norm_00265.0,-0.14699999999999847,-2.1 , 1.9,-2.1 , 1.9
mic_1_fr_norm,mic-1_fr_norm_00280.0,-0.10699999999999932,-2.1 , 1.9,-2.1 , 1.9
mic_1_fr_norm,mic-1_fr_norm_00300.0,-0.027999999999998693,-2.1 , 1.9,-2.1 , 1.9
mic_1_fr_norm,mic-1_fr_norm_00315.0,-0.0020000000000024443,-2.0 , 2.0,-2.0 , 2.0
mic_1_fr_norm,mic-1_fr_norm_00335.0,-0.015000000000000568,-2.0 , 2.0,-2.0 , 2.0
mic_1_fr_norm,mic-1_fr_norm_00355.0,-0.009000000000000341,-2.0 , 2.0,-2.0 , 2.0
mic_1_fr_norm,mic-1_fr_norm_00375.0,0.01999999999999602,-2.0 , 2.0,-2.0 , 2.0
mic_1_fr_norm,mic-1_fr_norm_00400.0,0.027000000000001023,-2.0 , 2.0,-2.0 , 2.0
mic_1_fr_norm,mic-1_fr_norm_00425.0,0.02599999999999625,-1.9 , 2.1,-1.9 , 2.1
mic_1_fr_norm,mic-1_fr_norm_00450.0,0.04999999999999716,-1.9 , 2.1,-1.9 , 2.1
mic_1_fr_norm,mic-1_fr_norm_00475.0,0.0519999999999996,-1.9 , 2.1,-1.9 , 2.1
mic_1_fr_norm,mic-1_fr_norm_00500.0,0.054999999999999716,-1.9 , 2.1,-1.9 , 2.1
mic_1_fr_norm,mic-1_fr_norm_00530.0,0.06899999999999551,-1.9 , 2.1,-1.9 , 2.1
mic_1_fr_norm,mic-1_fr_norm_00560.0,0.06299999999999528,-1.9 , 2.1,-1.9 , 2.1
mic_1_fr_norm,mic-1_fr_norm_00600.0,0.056999999999995055,-1.9 , 2.1,-1.9 , 2.1
mic_1_fr_norm,mic-1_fr_norm_00630.0,0.06499999999999773,-1.9 , 2.1,-1.9 , 2.1
mic_1_fr_norm,mic-1_fr_norm_00670.0,0.07000000000000028,-1.9 , 2.1,-1.9 , 2.1
mic_1_fr_norm,mic-1_fr_norm_00710.0,0.07900000000000063,-1.9 , 2.1,-1.9 , 2.1
mic_1_fr_norm,mic-1_fr_norm_00750.0,0.09299999999999642,-1.9 , 2.1,-1.9 , 2.1
mic_1_fr_norm,mic-1_fr_norm_00800.0,0.09599999999999653,-1.9 , 2.1,-1.9 , 2.1
mic_1_fr_norm,mic-1_fr_norm_00850.0,0.05399999999999494,-2.0 , 2.0,-2.0 , 2.0
mic_1_fr_norm,mic-1_fr_norm_00900.0,0.06099999999999994,-2.0 , 2.0,-2.0 , 2.0
mic_1_fr_norm,mic-1_fr_norm_00950.0,0.0379999999999967,-2.0 , 2.0,-2.0 , 2.0
mic_1_fr_norm,mic-1_fr_norm_01000.0,0.0,-2.0 , 2.0,-2.0 , 2.0
mic_1_fr_norm,mic-1_fr_norm_01060.0,0.08800000000000097,-2.0 , 2.0,-2.0 , 2.0
mic_1_fr_norm,mic-1_fr_norm_01120.0,0.11399999999999721,-2.0 , 2.0,-2.0 , 2.0
mic_1_fr_norm,mic-1_fr_norm_01180.0,0.10099999999999909,-2.0 , 2.0,-2.0 , 2.0
mic_1_fr_norm,mic-1_fr_norm_01250.0,0.07499999999999574,-2.0 , 2.0,-2.0 , 2.0
mic_1_fr_norm,mic-1_fr_norm_01320.0,0.2259999999999991,-2.0 , 2.0,-2.0 , 2.0
mic_1_fr_norm,mic-1_fr_norm_01400.0,-0.015000000000000568,-2.0 , 2.0,-2.0 , 2.0
mic_1_fr_norm,mic-1_fr_norm_01500.0,-0.045000000000001705,-2.0 , 2.0,-2.0 , 2.0
mic_1_fr_norm,mic-1_fr_norm_01600.0,0.09899999999999665,-2.0 , 2.0,-2.0 , 2.0
mic_1_fr_norm,mic-1_fr_norm_01700.0,-0.09300000000000352,-2.0 , 2.0,-2.0 , 2.0
mic_1_fr_norm,mic-1_fr_norm_01800.0,-0.12100000000000222,-2.0 , 2.0,-2.0 , 2.0
mic_1_fr_norm,mic-1_fr_norm_01900.0,0.1419999999999959,-2.0 , 2.0,-2.0 , 2.0
mic_1_fr_norm,mic-1_fr_norm_02000.0,0.19599999999999795,-2.0 , 2.0,-2.0 , 2.0
mic_1_fr_norm,mic-1_fr_norm_02120.0,0.15200000000000102,-2.1 , 2.1,-2.1 , 2.1
mic_1_fr_norm,mic-1_fr_norm_02240.0,0.1769999999999996,-2.1 , 2.1,-2.1 , 2.1
mic_1_fr_norm,mic-1_fr_norm_02360.0,0.28999999999999915,-2.2 , 2.2,-2.2 , 2.2
mic_1_fr_norm,mic-1_fr_norm_02500.0,0.40099999999999625,-2.3 , 2.3,-2.3 , 2.3
mic_1_fr_norm,mic-1_fr_norm_02650.0,0.277000000000001,-2.4 , 2.4,-2.4 , 2.4
mic_1_fr_norm,mic-1_fr_norm_02800.0,0.2639999999999958,-2.4 , 2.4,-2.4 , 2.4
mic_1_fr_norm,mic-1_fr_norm_03000.0,0.259999999999998,-2.4 , 2.5,-2.4 , 2.5
mic_1_fr_norm,mic-1_fr_norm_03150.0,0.5899999999999963,-2.5 , 2.6,-2.5 , 2.6
mic_1_fr_norm,mic-1_fr_norm_03350.0,-0.7169999999999987,-2.6 , 2.8,-2.6 , 2.8
mic_1_fr_norm,mic-1_fr_norm_03550.0,-0.4029999999999987,-2.7 , 3.0,-2.7 , 3.0
mic_1_fr_norm,mic-1_fr_norm_03750.0,0.8489999999999966,-2.7 , 3.2,-2.7 , 3.2
mic_1_fr_norm,mic-1_fr_norm_04000.0,0.7259999999999991,-2.7 , 3.3,-2.7 , 3.3
mic_1_fr_norm,mic-1_fr_norm_04250.0,0.8560000000000016,-2.6 , 3.6,-2.6 , 3.6
mic_1_fr_norm,mic-1_fr_norm_04500.0,0.4679999999999964,-2.5 , 3.9,-2.5 , 3.9
mic_1_fr_norm,mic-1_fr_norm_04750.0,0.39399999999999835,-2.3 , 4.0,-2.3 , 4.0
mic_1_fr_norm,mic-1_fr_norm_05000.0,1.1430000000000007,-2.2 , 4.3,-2.2 , 4.3
mic_1_fr_norm,mic-1_fr_norm_05300.0,0.7729999999999961,-2.1 , 4.5,-2.1 , 4.5
mic_1_fr_norm,mic-1_fr_norm_05600.0,1.0790000000000006,-1.6 , 5.1,-1.6 , 5.1
mic_1_fr_norm,mic-1_fr_norm_06000.0,1.402000000000001,-1.4 , 5.6,-1.4 , 5.6
mic_1_fr_norm,mic-1_fr_norm_06300.0,1.8459999999999965,-1.0 , 6.4,-1.0 , 6.4
mic_1_fr_norm,mic-1_fr_norm_06700.0,1.9349999999999952,-0.5 , 7.3,-0.5 , 7.3
mic_1_fr_norm,mic-1_fr_norm_07100.0,2.549999999999997,-0.2 , 8.2,-0.2 , 8.2
mic_1_fr_norm,mic-1_fr_norm_07500.0,2.8599999999999994,0.3 , 9.1,0.3 , 9.1
mic_1_fr_norm,mic-1_fr_norm_08000.0,4.171999999999997,0.6 , 10.6,0.6 , 10.6
mic_1_fr_norm,mic-1_fr_norm_08500.0,4.628999999999998,1.5 , 12.1,1.5 , 12.1
mic_1_fr_norm,mic-1_fr_norm_09000.0,5.143000000000001,2.4 , 14.0,2.4 , 14.0
mic_1_fr_norm,mic-1_fr_norm_09500.0,5.856999999999999,3.8 , 15.8,3.8 , 15.8
mic_1_fr_norm,mic-1_fr_norm_10000.0,8.485,5.2 , 17.2,5.2 , 17.2
mic_1_fr_norm,mic-1_fr_norm_10600.0,9.880999999999997,-inf , +inf,-inf , +inf
mic_1_fr_norm,mic-1_fr_norm_11200.0,10.375999999999998,-inf , +inf,-inf , +inf
mic_1_fr_norm,mic-1_fr_norm_11800.0,13.793999999999997,-inf , +inf,-inf , +inf
mic_1_fr_norm,mic-1_fr_norm_12500.0,12.928999999999998,-inf , +inf,-inf , +inf
mic_1_fr_norm,mic-1_fr_norm_13200.0,12.568999999999999,-inf , +inf,-inf , +inf
mic_1_fr_norm,mic-1_fr_norm_14000.0,11.817,-inf , +inf,-inf , +inf
mic_1_fr_norm,mic-1_fr_norm_15000.0,10.160999999999998,-inf , +inf,-inf , +inf
mic_1_fr_norm,mic-1_fr_norm_16000.0,8.396999999999998,-inf , +inf,-inf , +inf
mic_1_fr_norm,mic-1_fr_norm_17000.0,5.5859999999999985,-inf , +inf,-inf , +inf
mic_1_fr_norm,mic-1_fr_norm_18000.0,6.526,-inf , +inf,-inf , +inf
mic_1_fr_norm,mic-1_fr_norm_19000.0,3.533999999999999,-inf , +inf,-inf , +inf
mic_1_fr_norm,mic-1_fr_norm_20000.0,5.165999999999997,-inf , +inf,-inf , +inf
mic_1_fr_norm,mic-1_fr_norm_21200.0,4.244,-inf , +inf,-inf , +inf
mic_1_fr_norm,mic-1_fr_norm_22400.0,-3.2950000000000017,-inf , +inf,-inf , +inf
mic_1_thd,mic-1_thd_00100.0,1.799,-inf , +inf,-inf , +inf
mic_1_thd,mic-1_thd_00106.0,1.679,-inf , +inf,-inf , +inf
mic_1_thd,mic-1_thd_00112.0,1.564,-inf , +inf,-inf , +inf
mic_1_thd,mic-1_thd_00118.0,1.366,-inf , +inf,-inf , +inf
mic_1_thd,mic-1_thd_00125.0,1.156,-inf , +inf,-inf , +inf
mic_1_thd,mic-1_thd_00132.0,0.974,-inf , +inf,-inf , +inf
mic_1_thd,mic-1_thd_00140.0,0.768,-inf , +inf,-inf , +inf
mic_1_thd,mic-1_thd_00150.0,0.607,-inf , +inf,-inf , +inf
mic_1_thd,mic-1_thd_00160.0,0.482,-inf , +inf,-inf , +inf
mic_1_thd,mic-1_thd_00170.0,0.374,-inf , +inf,-inf , +inf
mic_1_thd,mic-1_thd_00180.0,0.305,-inf , +inf,-inf , +inf
mic_1_thd,mic-1_thd_00190.0,0.259,-inf , +inf,-inf , +inf
mic_1_thd,mic-1_thd_00200.0,0.249,-inf , 1.0,-inf , 1.0
mic_1_thd,mic-1_thd_00212.0,0.229,-inf , 1.0,-inf , 1.0
mic_1_thd,mic-1_thd_00224.0,0.202,-inf , 1.0,-inf , 1.0
mic_1_thd,mic-1_thd_00236.0,0.174,-inf , 1.0,-inf , 1.0
mic_1_thd,mic-1_thd_00250.0,0.152,-inf , 1.0,-inf , 1.0
mic_1_thd,mic-1_thd_00265.0,0.143,-inf , 1.0,-inf , 1.0
mic_1_thd,mic-1_thd_00280.0,0.135,-inf , 1.0,-inf , 1.0
mic_1_thd,mic-1_thd_00300.0,0.112,-inf , 1.0,-inf , 1.0
mic_1_thd,mic-1_thd_00315.0,0.096,-inf , 1.0,-inf , 1.0
mic_1_thd,mic-1_thd_00335.0,0.087,-inf , 1.0,-inf , 1.0
mic_1_thd,mic-1_thd_00355.0,0.082,-inf , 1.0,-inf , 1.0
mic_1_thd,mic-1_thd_00375.0,0.077,-inf , 1.0,-inf , 1.0
mic_1_thd,mic-1_thd_00400.0,0.076,-inf , 1.0,-inf , 1.0
mic_1_thd,mic-1_thd_00425.0,0.06,-inf , 1.0,-inf , 1.0
mic_1_thd,mic-1_thd_00450.0,0.049,-inf , 1.0,-inf , 1.0
